OBJECTID,Name,Total_MWe_Mean,Total_QFER_NameplateCapacity,ProtectedArea_Exclusion,Name2,Name3,NetUndevelopedRP,Acres_GeothermalField,Shape__Area,Shape__Length
1,Truckhaven,50,,0,,,50,40872.88,165406548.35141,51848.6752181722
2,Brawley,138,49.9,0,North Brawley,,88.1,8932.376,36148042.4635315,25674.6366604976
3,Hot Mineral Spa,3,,0,Pilger Estates HS (Imperial Spa),West Chocolate Mountains,3,4090.109,16552047.289444,28473.6911251889
4,Calistoga,16.9,,0,,,16.9,9182.27,37159562.1235123,28916.0194664856
5,Coso Hot Springs,419.2,302.41,0,,,116.79,108004.4,437078234.736885,116304.063966388
6,Dunes,18.5,,1,,,18.5,7723.006,31253933.2442017,22575.9677412366
7,East Brawley,358.5,,0,,,358.5,70551.45,285511513.167053,84397.8315470759
8,East Mesa,202.7,74.9,0,,,127.8,37802.11,152979418.911835,75797.3861250462
9,Geysers,1096.1,850,0,The Geysers,,246.1,283216.4,1146136305.27483,236767.414262025
10,Glass Mountain,365.6,,0,,,365.6,135390.1,547903866.588024,126045.556185747
11,Heber,159.6,161.5,0,,,0,59317.03,240047433.90538,90955.7187967311
12,Lake City - Surprise Valley 1,118.5,,0,,,118.5,65355.32,264483289.271701,109406.55402096
13,Mono - Long Valley,64.8,40,0,,,24.8,457796.3,1852635525.55568,214907.445749443
14,Randsburg,6.6,,1,,,6.6,12957.74,52438156.4516945,38617.6497572676
15,Salton Sea,2209.9,430.83,0,,,1779.07,103230.9,417760591.30101,100968.432807509
16,Sespe Hot Springs,10.7,,1,,,10.7,7030.354,28450834.027277,22536.4481965447
17,South Brawley,42.3,,0,,,42.3,12782.8,51730106.7290955,30786.9603048806
18,Wendel - Amedee,19.2,,0,,,19.2,18366.29,74325895.9410205,43261.8756817971
19,Fort Bidwell,9.1,,0,,,9.1,224.8102,909774.653469563,3381.42468097604
20,Kelly HS,9.5,,0,,,9.5,234.6934,949770.409738541,3454.94325215359
21,Canby (I'SOT),9.4,,0,,,9.4,232.2229,939772.844839096,3436.7111400788
22,Little Hot Spring (Fall River),3.9,,0,,,3.9,96.33471,389852.742336273,2213.58634825106
23,West Valley Reservoir,12.6,,0,,,12.6,311.2874,1259735.42401123,3978.94205632839
24,Kellog HS,5.4,,0,,,5.4,133.3946,539828.687170029,2604.75891724695
25,Big Bend HS,4.9,,0,,,4.9,121.041,489835.524913788,2481.22778526
26,Indian Valley Hot Springs,3.5,,0,,,3.5,86.45269,349861.619239807,2096.98854248747
27,Marble Hot Well,3.5,,0,,,3.5,86.45269,349861.628276825,2096.98909008671
28,Sierra Valley,3.5,,0,,,3.5,86.45269,349861.630925179,2096.98917143252
29,Brockway Hot Springs,2,,0,,,2,49.39516,199895.103754103,1585.12429124965
30,Carson River,15.7,,0,,,15.7,387.8824,1569704.60738349,4441.55312229642
31,Grovers HS,2.9,,1,,,2.9,71.6294,289873.890433311,1908.78611763158
32,Fales HS,2.9,,0,,,2.9,71.62939,289873.881036758,1908.78659614049
33,Travertine HS,2.8,,1,,,2.8,69.15893,279876.238072634,1875.58458836225
34,Tasajara HS,3,,0,,,3,74.0999,299871.637598038,1941.42115810066
35,Tecopa HS,9,,1,,,9,222.3398,899777.138908386,3362.79073451537
36,Paso Robles,3.4,,0,,,3.4,83.98209,339863.469406128,2066.81329695253
37,Arrowhead HS,7.1,,0,,,7.1,175.3961,709803.034988403,2986.78521682055
38,Mt. Signal,14.7,,1,,,14.7,363.1743,1469714.31420898,4297.77075388587
39,Boyes HS,8.4,,0,,,8.4,207.5152,839784.116404533,3248.75794083877
40,Sonoma Mission Inn,6.3,,0,,,6.3,155.6303,629813.31512785,2813.47926131429
